,DATE,day_of_week,Month
0,2003-05-12,Monday,May
1,2003-05-07,Wednesday,May
2,2003-04-23,Wednesday,April
3,2003-04-20,Sunday,April
4,2003-04-12,Saturday,April
5,2003-03-26,Wednesday,March
6,2003-03-10,Monday,March
7,2003-06-28,Saturday,June
8,2003-02-16,Sunday,February
9,2003-07-09,Wednesday,July
10,2003-01-31,Friday,January
11,2003-09-27,Saturday,September
12,2003-04-19,Saturday,April
13,2003-09-24,Wednesday,September
14,2003-11-05,Wednesday,November
15,2003-09-26,Friday,September
16,2003-10-21,Tuesday,October
17,2003-01-25,Saturday,January
19,2003-01-09,Thursday,January
20,2003-04-30,Wednesday,April
21,2003-12-12,Friday,December
22,2003-03-07,Friday,March
24,2003-01-23,Thursday,January
25,2003-04-01,Tuesday,April
26,2003-06-29,Sunday,June
27,2003-10-16,Thursday,October
28,2003-01-28,Tuesday,January
29,2003-08-05,Tuesday,August
30,2003-06-17,Tuesday,June
36,2003-06-13,Friday,June
37,2003-06-11,Wednesday,June
38,2003-11-08,Saturday,November
39,2003-04-21,Monday,April
41,2003-08-19,Tuesday,August
42,2003-06-26,Thursday,June
43,2003-12-01,Monday,December
45,2003-09-02,Tuesday,September
46,2003-03-18,Tuesday,March
47,2003-10-18,Saturday,October
48,2003-10-11,Saturday,October
49,2003-05-28,Wednesday,May
50,2003-06-30,Monday,June
51,2003-05-05,Monday,May
52,2003-02-24,Monday,February
53,2003-02-04,Tuesday,February
54,2003-11-29,Saturday,November
56,2003-10-03,Friday,October
57,2003-10-09,Thursday,October
59,2003-09-06,Saturday,September
60,2003-05-22,Thursday,May
62,2003-05-10,Saturday,May
64,2003-08-30,Saturday,August
66,2003-08-06,Wednesday,August
67,2003-07-30,Wednesday,July
68,2003-04-13,Sunday,April
69,2003-05-14,Wednesday,May
70,2003-07-01,Tuesday,July
73,2003-10-29,Wednesday,October
74,2003-11-10,Monday,November
75,2003-12-25,Thursday,December
76,2003-04-07,Monday,April
77,2003-04-04,Friday,April
78,2003-01-21,Tuesday,January
79,2003-09-29,Monday,September
80,2003-10-04,Saturday,October
81,2003-01-13,Monday,January
82,2003-01-03,Friday,January
86,2003-01-18,Saturday,January
87,2003-12-19,Friday,December
88,2003-09-25,Thursday,September
89,2003-11-06,Thursday,November
93,2003-08-12,Tuesday,August
94,2003-08-08,Friday,August
95,2003-09-30,Tuesday,September
97,2003-04-10,Thursday,April
98,2003-01-02,Thursday,January
99,2003-09-12,Friday,September
100,2003-03-22,Saturday,March
102,2003-12-17,Wednesday,December
103,2003-08-11,Monday,August
105,2003-08-26,Tuesday,August
106,2003-09-09,Tuesday,September
109,2003-10-23,Thursday,October
110,2003-09-21,Sunday,September
111,2003-02-10,Monday,February
112,2003-07-22,Tuesday,July
113,2003-11-24,Monday,November
114,2003-08-02,Saturday,August
115,2003-04-18,Friday,April
117,2003-11-02,Sunday,November
120,2003-08-25,Monday,August
121,2003-05-27,Tuesday,May
125,2003-01-24,Friday,January
129,2003-05-16,Friday,May
130,2003-04-24,Thursday,April
131,2003-03-30,Sunday,March
132,2003-03-15,Saturday,March
133,2003-03-14,Friday,March
134,2003-04-08,Tuesday,April
136,2003-04-28,Monday,April
140,2003-09-16,Tuesday,September
141,2003-01-20,Monday,January
142,2003-08-16,Saturday,August
144,2003-01-05,Sunday,January
147,2003-04-15,Tuesday,April
148,2003-12-03,Wednesday,December
149,2003-04-11,Friday,April
150,2003-12-24,Wednesday,December
151,2003-05-02,Friday,May
152,2003-09-07,Sunday,September
155,2003-09-10,Wednesday,September
156,2003-08-17,Sunday,August
158,2003-12-14,Sunday,December
159,2003-11-27,Thursday,November
160,2003-01-07,Tuesday,January
161,2003-09-05,Friday,September
162,2003-05-08,Thursday,May
163,2003-10-01,Wednesday,October
165,2003-07-18,Friday,July
167,2003-02-08,Saturday,February
168,2003-05-15,Thursday,May
170,2003-08-15,Friday,August
172,2003-03-03,Monday,March
173,2003-08-03,Sunday,August
174,2003-12-02,Tuesday,December
177,2003-07-17,Thursday,July
179,2003-01-27,Monday,January
180,2003-02-13,Thursday,February
184,2003-06-24,Tuesday,June
185,2003-10-10,Friday,October
186,2003-04-27,Sunday,April
188,2003-01-12,Sunday,January
189,2003-01-01,Wednesday,January
193,2003-05-04,Sunday,May
194,2003-07-12,Saturday,July
195,2003-06-04,Wednesday,June
196,2003-12-23,Tuesday,December
199,2003-06-21,Saturday,June
203,2003-07-03,Thursday,July
204,2003-07-08,Tuesday,July
205,2003-06-25,Wednesday,June
207,2003-06-16,Monday,June
210,2003-03-31,Monday,March
212,2003-12-21,Sunday,December
218,2003-11-01,Saturday,November
